source	target
Táimíd	Táimid
leig	lig
fearra	fearr
dhúinn	dúinn
cealltair	cealtair
sul a	sula
bhfágaimíd	bhfágaimid
nidh	ní
ná beadh	nach mbeadh
oireamhnach	oiriúnach
Raghad	Rachaidh mé
thúirling	thuirling
de'n	den
eiteallán	eitleán
an dtalamh	an talamh
anál	anáil
Táinig	Tháinig
crapuithe	craptha
caithte	caite
aca	acu
eitealláin	eitleáin
i n-ionad	in ionad
léimt	léim
talmhan	talún
héadtrom	héadrom
liúgh	liú
hiongnadh	hionadh
héadtrom	héadrom
ó'n	ón
eiteallán	eitleán
gáiridhe	gáire
hag	ag
bhís	bhí tú
léimt	léim
leim	léim
san	sin
fhaid	fhad
uaibh	ó
lugha	lú
so	seo
d'á	dá
lugha	lú
tarraing	tarraingt
nidhte	nithe
éadtruime	éadroime
annso	anseo
an ndomhan	an domhan
fát	faoi do
leim	léim
san	sin
díombáidheach	díomách
Cheapas	Cheap mé
bhíos	bhí mé
dhéanfaimíd	dhéanfaimid
agat-sa	agatsa
nighe	ní
tsruthán	sruthán
san	sin
nighis	nigh tú
ró-shlachtmhar	róshlachtmhar
díoghbháil	díobháil
thomadh	thumadh
i n-uisce	in uisce
fearra	fearr
dhúinn	dúinn
orm-sa	ormsa
ndéanfad	ndéanfaidh mé
díoghbháil	díobháil
Fíor-uisce	Fíoruisce
Ólaidh	Óla
bhúr	bhur
de'n	den
d'ár	dár
iompa	umpu
tsruthán	sruthán
nighte	nite
ar fuaid	ar fud
talmhan	talún
i n-áirde	in airde
hárd	hard
san	sin
raghadh	rachadh
chroidhe	chroí
fearra	fearr
dhúinn	dúinn
t-eiteallán	t-eitleán
fé sna	faoi na
crannaibh	crainn
annsan	ansin
gcuirfimíd	gcuirfimid
nách	nach
deagh-fhuadar	dea-fhuadar
fútha	fúthu
tapaidh	tapa
Eiteallán	Eitleán
éinní	aon ní
aca	acu
dh'árdach	a ardú
nguailníbh	nguaillí
fé	faoi
eadh	ea
saoghal	saol
tiugh	tiubh
ioldathach	ildathach
ortha	orthu
ortha	orthu
árdú	ardú
eitealláin	eitleáin
hiongnadh	hionadh
ná fuil	nach bhfuil
mheádhchan	mheáchan
eiteallán	eitleán
iongantach	iontach
Chífidh	bhFeicfidh
iongantaisí	iontais
san	sin
sul a	sula
mbeir	mbeidh tú
Tugaimís	Tugaimis
uatha	uathu
éadtruime	éadroime
nóimit	nóiméad
comhgarach	cóngarach
cumhartha	cumhra
fé n-a	faoina
gcosaibh	gcosa
fé'n	faoin
ortha	orthu
chídís	d'fheicidís
ioldathacha	ildathacha
tré	trí
ghéagaibh	ghéaga
rómpa	rompu
phoc-léim	phocléim
héadtruime	héadroime
cuirp	corp
leagadh	leagan
hobann	tobann
shlait	shlat
tapaidh	tapa
an dtalamh	an talamh
árd-iongnadh	ardionadh
tagaithe	tagtha
fé'n	faoin
Bhfuilir	bhFuil tú
gortuighthe	gortaithe
gortuighthe	gortaithe
i n-aon	in aon
barra-thuisle	barrthuisle
éinní	aon ní
annso	anseo
barra-thuisle	barrthuisle
chosaibh	chosa
do chaith	chaith
dhein	rinne
an dtalamh	an talamh
bonnaibh	boinn
