source	target
___MANANPH_00001___	___MANANPH_00001___
\n	\n
\n	\n
#	#
An	An
Turas	Turas
go	go
Manannán	Manannán
\n	\n
\n	\n
Tráthnóna	Tráthnóna
aoibhinn	aoibhinn
i	i
ndeire	ndeireadh
an	an
Earraigh	Earraigh
timcheall	timpeall
\n	\n
bliana	bliana
ina	ina
dhiaidh	dhiaidh
san	sin
bhí	bhí
Seán	Seán
Ó	Ó
Maolchatha	Maolchatha
ag	ag
\n	\n
feitheamh	feitheamh
leis	leis
an	an
mbeirt	mbeirt
eile	eile
ag	ag
an	an
aer-phort	aerfort
i	i
mBaile	mBaile
\n	\n
Uí	Uí
Coileáin	Coileáin
.	.
Bhí	Bhí
duine	duine
de	de
ghiollaí	ghiollaí
an	an
aer-phuirt	aer-phuirt
ag	ag
\n	\n
líonadh	líonadh
umar	umar
an	an
eitealláin	eitleáin
de	de
phetrol	pheitreal
,	,
agus	agus
bhí	bhí
Seán	Seán
féin	féin
\n	\n
ag	ag
cur	cur
gach	gach
aon	aon
nidh	ní
i n-órdú	in ordú
agus	agus
i n-eagar	in eagar
i	i
gcomhair	gcomhair
an	an
\n	\n
turais	turais
éachtaigh	éachtach
a	a
bhí	bhí
roimis	roimhe
.	.
\n	\n
\n	\n
Bhí	Bhí
tuitim	titim
na	na
hoidhche	hoíche
ann	ann
agus	agus
bhí	bhí
na	na
réilthíní	réiltíní
geala	geala
a	a
\n	\n
dtaisebáint	dtaisebáint
féin	féin
san	san
aer	aer
ina	ina
gceann	gceann
is	is
ina	ina
gceann	gceann
.	.
Bhí	Bhí
\n	\n
corrán	corrán
gealaighe	gealaí
crochta	crochta
ós cionn	os cionn
na	na
gcrann	gcrann
taobh	taobh
thall	thall
\n	\n
de	de
pháirc	pháirc
na	na
n-eiteallán	n-eitleán
.	.
\n	\n
\n	\n
“	“
Is	Is
breágh	breá
an	an
t-eiteallán	t-eitleán
é	é
seo	seo
,	,
a	a
dhuine	dhuine
uasail	uasail
,	,
”	”
\n	\n
arsa	arsa
an	an
giolla	giolla
i	i
gceann	gceann
tamaill	tamaill
.	.
“	“
Ní	Ní
foláir	foláir
nó	nó
taoi	tá tú
\n	\n
ag	ag
cuimhneamh	cuimhneamh
ar	ar
dhul	dhul
ar	ar
aistear	aistear
fhada	fhada
ann	ann
.	.
An	An
id'	i do
aonar	aonar
\n	\n
a	a
raghair	rachaidh tú
?	?
”	”
\n	\n
\n	\n
“	“
Beidh	Beidh
beirt	beirt
eile	eile
faram	faram
,	,
”	”
arsa	arsa
Seán	Seán
.	.
\n	\n
\n	\n
“	“
Cogar	Cogar
,	,
a	a
dhuine	dhuine
uasail	uasail
.	.
An	An
do'n	don
Mhol	Mhol
Thuaidh	Thuaidh
a	a
\n	\n
raghaidh	rachaidh
sibh	sibh
?	?
”	”
\n	\n
\n	\n
“	“
Cad	Cad
a	a
chuir	chuir
id'	i do
cheann	cheann
gur	gur
do'n	don
Mhol	Mhol
Thuaidh	Thuaidh
a	a
\n	\n
raghaimís	rachaimis
?	?
”	”
\n	\n
\n	\n
“	“
Tá	Tá
a	a
bhfuil	bhfuil
annso	anseo
ag	ag
